index,0
"
Moon Jae-in","Moon Jae-in (Korean: 문재인; Hanja: 文在寅; Korean pronunciation: [mun.dʑɛ.in]; born January 24, 1953) is a South Korean lawyer-turned-politician who has been serving as 12th president of South Korea since May 2017.Prior to his presidency, he served as senior secretary for civil affairs as well as chief of staff to Roh Moo-hyun, member of the 19th National Assembly, and leader of the Democratic Party of Korea (DPK).
Born to North Korean refugees, Moon was raised in poverty in the southern port city of Busan."
Ri Son Gwon,"Ri Son-gwon (Korean: 리선권) is a North Korean politician and diplomat who has served as chairman of the Committee for the Peaceful Reunification of the Fatherland. In January 2020, he was named in media reports as the successor for Foreign Minister Ri Yong-ho."
Cho Myoung- Gyon,"Cho Myoung-gyon (Korean: 조명균; Hanja: 趙明均; born 17 November 1957) is a South Korean politician previously served as President Moon Jae-in's first Minister of Unification.
After passing the state exam in 1979, Cho spent most of his career at the Ministry of Unification."
Paul Selva,"Paul Joseph Selva (born September 27, 1958) is a retired United States Air Force general who served as the tenth vice chairman of the Joint Chiefs of Staff. In this capacity, he was the nation's second-highest-ranking military officer, and the highest-ranking officer in the Air Force."
Donald Trump OLD,"Donald John Trump (born June 14, 1946) is an American politician, media personality, and businessman who served as the 45th president of the United States from 2017 to 2021.
Born and raised in Queens, New York City, Trump graduated from the Wharton School of the University of Pennsylvania with a bachelor's degree in 1968."
Tulsi Gabbard,"Tulsi Gabbard (; born April 12, 1981) is an American politician and United States Army Reserve officer who served as the U.S. representative for Hawaii's 2nd congressional district from 2013 to 2021, not seeking re-election in 2020. Elected in 2012, Gabbard was the first Hindu member of Congress and also the first Samoan-American voting member of Congress."
David Ige,"David Yutaka Ige (; 伊芸 豊, Ige Yutaka, born January 15, 1957) is an American politician and engineer serving as the eighth governor of Hawaii. A Democrat, he served in the Hawaii State Senate from 2003 to 2014 and the Hawaii House of Representatives from 1985 to 2003."
Mazie Hirono,"Mazie Keiko Hirono (; Japanese name: 広野 慶子, Hirono Keiko; born November 3, 1947) is an American lawyer and politician serving as the junior United States senator from Hawaii since 2013. She is a member of the Democratic Party."
Nikki Haley,"Nimrata Nikki Haley (née Randhawa; born January 20, 1972) is an American diplomat and politician who served as the 116th and first female governor of South Carolina from 2011 to 2017, and as the 29th United States ambassador to the United Nations for two years, from January 2017 to January 2019.Haley was born in Bamberg, South Carolina, and earned an accounting degree from Clemson University. She joined her family's clothing business, before serving as treasurer and president of the National Association of Women Business Owners."
Adam Smith,"Adam Smith  (baptized 16 June [O.S. 5 June] 1723 – 17 July 1790) was a Scottish economist and philosopher who was a pioneer of political economy and key figure during the Scottish Enlightenment. Also known as ""The Father of Economics"" or ""The Father of Capitalism"", he wrote two classic works, The Theory of Moral Sentiments (1759) and An Inquiry into the Nature and Causes of the Wealth of Nations (1776)."
Kim Jong Un,"Kim Jong-un (; Korean: 김정은, Korean: [kim.dzɔŋ.ɯn]; born 8 January 1983) is a North Korean politician who has been Supreme Leader of North Korea since 2011 and the leader of the Workers' Party of Korea (WPK) since 2012. He is a son of Kim Jong-il, who was North Korea's second supreme leader from 1994 to 2011, and Ko Yong-hui."
Mike Pence OLD,"Michael Richard Pence (born June 7, 1959) is an American politician, broadcaster, and lawyer who served as the 48th vice president of the United States from 2017 to 2021. A member of the Republican Party, he was the 50th governor of Indiana from 2013 to 2017."
James Mattis,"James Norman Mattis (born September 8, 1950) is a retired United States Marine Corps four-star general who served as the 26th US secretary of defense from January 2017 to January 2019. During his 44 years in the Marine Corps, he commanded forces in the Persian Gulf War, the War in Afghanistan, and the Iraq War."
Trita Parsi (OLD),"Trita Parsi (Persian: تریتا پارسی, born 21 July 1974) is the co-founder and executive vice president of the Quincy Institute for Responsible Statecraft, as well as the founder and former president of the National Iranian American Council. He regularly writes articles and appears on TV to comment on foreign policy and is the author of Treacherous Alliance, A Single Roll of the Dice and Losing an Enemy."
Steve Coll,"Steve Coll (born October 8, 1958) is an American journalist, academic and executive.
He is currently the dean of the Columbia University Graduate School of Journalism, where he is also the Henry R. Luce Professor of Journalism."
Mark Wright,"Mark Charles Edward Wright (born 20 January 1987) is an English television personality, football pundit, entertainment reporter, and  professional footballer who last played for EFL League Two side Crawley Town. He is best known for appearing as a cast member on the first three series of The Only Way Is Essex."
James Kim,"James Kim (August 9, 1971 – December 4, 2006) was an American television personality and technology analyst for the former TechTV international cable television network, reviewing products for shows including The Screen Savers, Call for Help, and Fresh Gear. At the time of his death he was working as a senior editor of MP3 and Digital Audio for CNET, where he wrote more than 400 product reviews."
